month,primary_type,counts
MAY,ASSAULT,5569
MAY,CRIMINAL DAMAGE,7643
MAY,BATTERY,13243
MAY,THEFT,14042
JUN,OTHER NARCOTIC VIOLATION,0
JUN,PUBLIC INDECENCY,4
JUN,HUMAN TRAFFICKING,4
JUN,OBSCENITY,16
JUN,CONCEALED CARRY LICENSE VIOLATION,44
JUN,KIDNAPPING,46
JUN,INTIMIDATION,46
JUN,LIQUOR LAW VIOLATION,50
JUN,STALKING,63
JUN,GAMBLING,68
JUN,ARSON,139
JUN,PROSTITUTION,141
JUN,HOMICIDE,203
JUN,SEX OFFENSE,285
JUN,INTERFERENCE WITH PUBLIC OFFICER,287
JUN,CRIMINAL SEXUAL ASSAULT,381
JUN,PUBLIC PEACE VIOLATION,433
JUN,OFFENSE INVOLVING CHILDREN,550
JUN,CRIMINAL TRESPASS,1454
JUN,WEAPONS VIOLATION,1848
JUN,ROBBERY,2198
JUN,MOTOR VEHICLE THEFT,2383
JUN,BURGLARY,2606
JUN,NARCOTICS,2648
JUN,OTHER OFFENSE,3952
JUN,DECEPTIVE PRACTICE,4271
JUN,ASSAULT,5606
JUN,CRIMINAL DAMAGE,7569
JUN,BATTERY,13310
JUN,THEFT,14762
JUL,OTHER NARCOTIC VIOLATION,0
JUL,HUMAN TRAFFICKING,1
JUL,PUBLIC INDECENCY,2
JUL,OBSCENITY,24
JUL,KIDNAPPING,42
JUL,CONCEALED CARRY LICENSE VIOLATION,48
JUL,GAMBLING,57
JUL,INTIMIDATION,62
JUL,STALKING,68
JUL,LIQUOR LAW VIOLATION,97
JUL,ARSON,150
JUL,HOMICIDE,218
JUL,PROSTITUTION,226
JUL,SEX OFFENSE,311
JUL,PUBLIC PEACE VIOLATION,339
JUL,INTERFERENCE WITH PUBLIC OFFICER,358
JUL,CRIMINAL SEXUAL ASSAULT,450
JUL,OFFENSE INVOLVING CHILDREN,514
JUL,CRIMINAL TRESPASS,1531
JUL,WEAPONS VIOLATION,2028
JUL,ROBBERY,2386
JUL,MOTOR VEHICLE THEFT,2695
JUL,BURGLARY,2803
JUL,NARCOTICS,2992
JUL,OTHER OFFENSE,4160
JUL,DECEPTIVE PRACTICE,4751
JUL,ASSAULT,5764
JUL,CRIMINAL DAMAGE,7825
JUL,BATTERY,13901
JUL,THEFT,15816
AUG,OTHER NARCOTIC VIOLATION,2
AUG,PUBLIC INDECENCY,4
AUG,HUMAN TRAFFICKING,4
AUG,OBSCENITY,15
AUG,KIDNAPPING,36
AUG,CONCEALED CARRY LICENSE VIOLATION,50
AUG,INTIMIDATION,51
AUG,STALKING,56
AUG,GAMBLING,73
AUG,LIQUOR LAW VIOLATION,82
AUG,ARSON,130
AUG,PROSTITUTION,163
AUG,HOMICIDE,176
AUG,PUBLIC PEACE VIOLATION,334
AUG,SEX OFFENSE,339
AUG,INTERFERENCE WITH PUBLIC OFFICER,360
AUG,CRIMINAL SEXUAL ASSAULT,408
AUG,OFFENSE INVOLVING CHILDREN,483
AUG,CRIMINAL TRESPASS,1529
AUG,WEAPONS VIOLATION,2194
AUG,ROBBERY,2527
AUG,MOTOR VEHICLE THEFT,2763
AUG,BURGLARY,3178
AUG,NARCOTICS,3268
AUG,OTHER OFFENSE,3932
AUG,DECEPTIVE PRACTICE,4579
AUG,ASSAULT,5513
AUG,CRIMINAL DAMAGE,7568
AUG,BATTERY,13235
AUG,THEFT,16575
SEP,OTHER NARCOTIC VIOLATION,0
SEP,PUBLIC INDECENCY,4
SEP,HUMAN TRAFFICKING,5
SEP,OBSCENITY,15
SEP,KIDNAPPING,39
SEP,GAMBLING,45
SEP,STALKING,49
SEP,INTIMIDATION,54
SEP,LIQUOR LAW VIOLATION,68
SEP,CONCEALED CARRY LICENSE VIOLATION,71
SEP,ARSON,116
SEP,PROSTITUTION,147
SEP,HOMICIDE,188
SEP,INTERFERENCE WITH PUBLIC OFFICER,286
SEP,SEX OFFENSE,318
SEP,PUBLIC PEACE VIOLATION,333
SEP,CRIMINAL SEXUAL ASSAULT,402
SEP,OFFENSE INVOLVING CHILDREN,526
SEP,CRIMINAL TRESPASS,1591
SEP,WEAPONS VIOLATION,1868
SEP,ROBBERY,2201
SEP,MOTOR VEHICLE THEFT,2503
SEP,BURGLARY,2539
SEP,NARCOTICS,2922
SEP,OTHER OFFENSE,3731
SEP,DECEPTIVE PRACTICE,4251
SEP,ASSAULT,5302
SEP,CRIMINAL DAMAGE,6822
SEP,BATTERY,12112
SEP,THEFT,14841
OCT,OTHER NARCOTIC VIOLATION,0
OCT,HUMAN TRAFFICKING,2
OCT,PUBLIC INDECENCY,5
OCT,OBSCENITY,20
OCT,KIDNAPPING,23
OCT,GAMBLING,26
OCT,STALKING,46
OCT,CONCEALED CARRY LICENSE VIOLATION,48
OCT,LIQUOR LAW VIOLATION,50
OCT,INTIMIDATION,51
OCT,PROSTITUTION,98
OCT,ARSON,117
OCT,HOMICIDE,167
OCT,INTERFERENCE WITH PUBLIC OFFICER,264
OCT,SEX OFFENSE,299
OCT,PUBLIC PEACE VIOLATION,306
OCT,CRIMINAL SEXUAL ASSAULT,384
OCT,OFFENSE INVOLVING CHILDREN,543
OCT,CRIMINAL TRESPASS,1456
OCT,WEAPONS VIOLATION,1739
OCT,ROBBERY,2280
OCT,BURGLARY,2507
OCT,MOTOR VEHICLE THEFT,2516
OCT,NARCOTICS,2854
OCT,OTHER OFFENSE,3837
OCT,ASSAULT,4955
OCT,DECEPTIVE PRACTICE,5184
OCT,CRIMINAL DAMAGE,6990
OCT,BATTERY,11578
OCT,THEFT,14470
NOV,HUMAN TRAFFICKING,0
NOV,PUBLIC INDECENCY,3
NOV,OTHER NARCOTIC VIOLATION,4
NOV,OBSCENITY,10
NOV,GAMBLING,13
NOV,CONCEALED CARRY LICENSE VIOLATION,33
NOV,INTIMIDATION,36
NOV,LIQUOR LAW VIOLATION,42
NOV,KIDNAPPING,43
NOV,STALKING,56
NOV,ARSON,107
NOV,HOMICIDE,144
NOV,PROSTITUTION,155
NOV,INTERFERENCE WITH PUBLIC OFFICER,225
NOV,PUBLIC PEACE VIOLATION,256
NOV,SEX OFFENSE,265
NOV,CRIMINAL SEXUAL ASSAULT,343
NOV,OFFENSE INVOLVING CHILDREN,508
NOV,CRIMINAL TRESPASS,1313
NOV,WEAPONS VIOLATION,1640
NOV,ROBBERY,2209
NOV,BURGLARY,2318
NOV,MOTOR VEHICLE THEFT,2442
NOV,NARCOTICS,2774
NOV,OTHER OFFENSE,3577
NOV,ASSAULT,4354
NOV,DECEPTIVE PRACTICE,5075
NOV,CRIMINAL DAMAGE,5842
NOV,BATTERY,10317
NOV,THEFT,12990
DEC,OTHER NARCOTIC VIOLATION,1
DEC,PUBLIC INDECENCY,2
DEC,HUMAN TRAFFICKING,2
DEC,GAMBLING,4
DEC,OBSCENITY,14
DEC,LIQUOR LAW VIOLATION,19
DEC,INTIMIDATION,29
DEC,CONCEALED CARRY LICENSE VIOLATION,36
DEC,KIDNAPPING,41
DEC,STALKING,45
DEC,PROSTITUTION,100
DEC,ARSON,112
DEC,HOMICIDE,132
DEC,INTERFERENCE WITH PUBLIC OFFICER,247
DEC,SEX OFFENSE,255
DEC,PUBLIC PEACE VIOLATION,272
DEC,CRIMINAL SEXUAL ASSAULT,316
DEC,OFFENSE INVOLVING CHILDREN,504
DEC,CRIMINAL TRESPASS,1329
DEC,WEAPONS VIOLATION,1718
DEC,ROBBERY,2155
DEC,BURGLARY,2344
DEC,NARCOTICS,2591
DEC,MOTOR VEHICLE THEFT,2592
DEC,OTHER OFFENSE,3480
DEC,ASSAULT,4400
DEC,CRIMINAL DAMAGE,5901
DEC,DECEPTIVE PRACTICE,5990
DEC,BATTERY,10400
DEC,THEFT,14040
