primary_type,location_description,count
ASSAULT,MEDICAL/DENTAL OFFICE,108
ASSAULT,RESIDENCE - GARAGE,107
ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,106
ASSAULT,DRIVEWAY - RESIDENTIAL,100
ASSAULT,POLICE FACILITY/VEH PARKING LOT,86
ASSAULT,WAREHOUSE,79
ASSAULT,BARBERSHOP,71
ASSAULT,CAR WASH,67
ASSAULT,DAY CARE CENTER,67
ASSAULT,SCHOOL - PRIVATE GROUNDS,61
ASSAULT,NURSING/RETIREMENT HOME,59
ASSAULT,AUTO/BOAT/RV DEALERSHIP,57
ASSAULT,VACANT LOT/LAND,51
ASSAULT,CURRENCY EXCHANGE,47
ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",46
ASSAULT,FACTORY/MANUFACTURING BUILDING,45
ASSAULT,ATHLETIC CLUB,44
ASSAULT,HIGHWAY/EXPRESSWAY,33
ASSAULT,APPLIANCE STORE,32
ASSAULT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,31
ASSAULT,CLEANING STORE,28
ASSAULT,FEDERAL BUILDING,28
ASSAULT,COLLEGE/UNIVERSITY GROUNDS,26
ASSAULT,OTHER COMMERCIAL TRANSPORTATION,25
ASSAULT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,23
ASSAULT,CTA GARAGE/OTHER PROPERTY,23
ASSAULT,TAXICAB,20
ASSAULT,MOVIE HOUSE/THEATER,19
ASSAULT,POLICE FACILITY/VEHICLE PARKING LOT,19
ASSAULT,AIRPORT EXTERIOR - NON-SECURE AREA,18
ASSAULT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,16
ASSAULT,SPORTS ARENA/STADIUM,16
ASSAULT,CONSTRUCTION SITE,15
ASSAULT,LAKEFRONT/WATERFRONT/RIVERBANK,15
ASSAULT,VEHICLE-COMMERCIAL,15
ASSAULT,PAWN SHOP,14
ASSAULT,AIRCRAFT,13
ASSAULT,CTA PARKING LOT/GARAGE/OTHER PROPERTY,13
ASSAULT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,12
ASSAULT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,11
ASSAULT,ANIMAL HOSPITAL,11
ASSAULT,COIN OPERATED MACHINE,11
ASSAULT,JAIL/LOCK-UP FACILITY,11
ASSAULT,ABANDONED BUILDING,10
ASSAULT,AIRPORT EXTERIOR - SECURE AREA,9
ASSAULT,AIRPORT PARKING LOT,9
ASSAULT,POOL ROOM,9
ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",9
ASSAULT,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
ASSAULT,CEMETARY,8
ASSAULT,OTHER RAILROAD PROP/TRAIN DEPOT,6
ASSAULT,CREDIT UNION,5
ASSAULT,FIRE STATION,5
ASSAULT,SAVINGS AND LOAN,5
ASSAULT,BOAT/WATERCRAFT,4
ASSAULT,BOWLING ALLEY,4
ASSAULT,BRIDGE,3
ASSAULT,FOREST PRESERVE,3
ASSAULT,VEHICLE - COMMERCIAL,3
ASSAULT,VEHICLE - DELIVERY TRUCK,3
ASSAULT,AIRPORT/AIRCRAFT,2
ASSAULT,COLLEGE/UNIVERSITY - GROUNDS,2
ASSAULT,CTA TRACKS - RIGHT OF WAY,2
ASSAULT,NEWSSTAND,2
ASSAULT,OTHER RAILROAD PROPERTY/TRAIN DEPOT,2
ASSAULT,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
ASSAULT,AIRPORT TRANSPORTATION SYSTEM (ATS),1
ASSAULT,AIRPORT VENDING ESTABLISHMENT,1
ASSAULT,ATM (AUTOMATIC TELLER MACHINE),1
ASSAULT,KENNEL,1
BATTERY,APARTMENT,35985
BATTERY,RESIDENCE,29838
BATTERY,STREET,19227
BATTERY,SIDEWALK,16863
BATTERY,ALLEY,2813
BATTERY,SCHOOL - PUBLIC BUILDING,2788
BATTERY,OTHER,2139
BATTERY,RESTAURANT,2040
BATTERY,PARKING LOT/GARAGE(NON.RESID.),1852
BATTERY,RESIDENCE PORCH/HALLWAY,1830
BATTERY,VEHICLE NON-COMMERCIAL,1618
BATTERY,RESIDENTIAL YARD (FRONT/BACK),1555
BATTERY,GAS STATION,1422
BATTERY,BAR OR TAVERN,1380
BATTERY,PARK PROPERTY,1153
BATTERY,HOSPITAL BUILDING/GROUNDS,1111
BATTERY,SMALL RETAIL STORE,964
BATTERY,NURSING HOME/RETIREMENT HOME,929
BATTERY,SCHOOL - PUBLIC GROUNDS,911
BATTERY,CTA BUS,905
BATTERY,HOTEL/MOTEL,845
BATTERY,CHA APARTMENT,836
BATTERY,GROCERY FOOD STORE,741
BATTERY,RESIDENCE - YARD (FRONT/BACK),695
BATTERY,CTA PLATFORM,671
BATTERY,CTA TRAIN,655
BATTERY,RESIDENCE - PORCH/HALLWAY,650
BATTERY,PARKING LOT/GARAGE (NON RESIDENTIAL),644
BATTERY,CONVENIENCE STORE,603
BATTERY,OTHER (SPECIFY),551
BATTERY,CTA STATION,490
BATTERY,SCHOOL - PRIVATE BUILDING,391
BATTERY,CHA PARKING LOT/GROUNDS,386
BATTERY,DEPARTMENT STORE,348
BATTERY,CTA BUS STOP,336
BATTERY,COMMERCIAL/BUSINESS OFFICE,260
BATTERY,NURSING/RETIREMENT HOME,252
BATTERY,RESIDENCE - GARAGE,246
BATTERY,TAVERN/LIQUOR STORE,217
BATTERY,GOVERNMENT BUILDING/PROPERTY,203
BATTERY,VACANT LOT/LAND,187
BATTERY,DRUG STORE,184
BATTERY,POLICE FACILITY/VEH PARKING LOT,172
BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,146
BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,143
BATTERY,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",120
BATTERY,SPORTS ARENA/STADIUM,114
BATTERY,AUTO/BOAT/RV DEALERSHIP,110
BATTERY,BARBERSHOP,108
BATTERY,SCHOOL - PRIVATE GROUNDS,105
BATTERY,WAREHOUSE,105
BATTERY,DRIVEWAY - RESIDENTIAL,102
BATTERY,LIBRARY,98
BATTERY,TAXICAB,78
BATTERY,MEDICAL/DENTAL OFFICE,75
BATTERY,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,74
BATTERY,MOVIE HOUSE/THEATER,70
BATTERY,DAY CARE CENTER,67
BATTERY,FACTORY/MANUFACTURING BUILDING,67
BATTERY,ATHLETIC CLUB,57
BATTERY,VEHICLE-COMMERCIAL,57
BATTERY,ABANDONED BUILDING,53
BATTERY,HIGHWAY/EXPRESSWAY,50
BATTERY,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,49
BATTERY,OTHER COMMERCIAL TRANSPORTATION,49
BATTERY,AIRCRAFT,46
BATTERY,CAR WASH,46
BATTERY,BANK,45
BATTERY,POLICE FACILITY/VEHICLE PARKING LOT,45
BATTERY,AIRPORT EXTERIOR - NON-SECURE AREA,43
BATTERY,LAKEFRONT/WATERFRONT/RIVERBANK,43
BATTERY,JAIL/LOCK-UP FACILITY,42
BATTERY,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",32
BATTERY,CLEANING STORE,30
BATTERY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,29
BATTERY,APPLIANCE STORE,29
BATTERY,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,28
BATTERY,ANIMAL HOSPITAL,28
BATTERY,CONSTRUCTION SITE,28
BATTERY,CURRENCY EXCHANGE,28
BATTERY,COLLEGE/UNIVERSITY GROUNDS,27
BATTERY,BOAT/WATERCRAFT,24
BATTERY,POOL ROOM,24
BATTERY,BOWLING ALLEY,23
BATTERY,CTA GARAGE/OTHER PROPERTY,23
BATTERY,OTHER RAILROAD PROP/TRAIN DEPOT,23
BATTERY,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,21
BATTERY,FEDERAL BUILDING,18
BATTERY,AIRPORT PARKING LOT,17
BATTERY,COIN OPERATED MACHINE,16
BATTERY,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,15
BATTERY,FIRE STATION,15
BATTERY,BRIDGE,14
BATTERY,AIRPORT EXTERIOR - SECURE AREA,10
BATTERY,VEHICLE - COMMERCIAL,10
BATTERY,COLLEGE/UNIVERSITY RESIDENCE HALL,9
BATTERY,CTA PARKING LOT/GARAGE/OTHER PROPERTY,9
BATTERY,CTA TRACKS - RIGHT OF WAY,7
BATTERY,PAWN SHOP,6
BATTERY,AIRPORT VENDING ESTABLISHMENT,5
BATTERY,ATM (AUTOMATIC TELLER MACHINE),5
BATTERY,VEHICLE - DELIVERY TRUCK,5
BATTERY,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,4
BATTERY,SAVINGS AND LOAN,4
BATTERY,CREDIT UNION,3
BATTERY,VEHICLE-COMMERCIAL - TROLLEY BUS,3
BATTERY,CEMETARY,2
BATTERY,COLLEGE/UNIVERSITY - GROUNDS,2
BATTERY,COLLEGE/UNIVERSITY - RESIDENCE HALL,2
BATTERY,FOREST PRESERVE,2
BATTERY,OTHER RAILROAD PROPERTY/TRAIN DEPOT,2
BATTERY,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,2
BATTERY,AIRPORT TRANSPORTATION SYSTEM (ATS),1
BATTERY,AIRPORT/AIRCRAFT,1
BATTERY,HORSE STABLE,1
BATTERY,VEHICLE - COMMERCIAL: ENTERTAINMENT/PARTY BUS,1
BURGLARY,APARTMENT,9217
BURGLARY,RESIDENCE,8812
BURGLARY,RESIDENCE - GARAGE,4404
BURGLARY,SMALL RETAIL STORE,1275
BURGLARY,RESTAURANT,1056
BURGLARY,OTHER,728
BURGLARY,COMMERCIAL/BUSINESS OFFICE,588
BURGLARY,OTHER (SPECIFY),484
BURGLARY,CONVENIENCE STORE,324
BURGLARY,CONSTRUCTION SITE,282
BURGLARY,GROCERY FOOD STORE,216
BURGLARY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,212
BURGLARY,DEPARTMENT STORE,188
BURGLARY,STREET,149
BURGLARY,WAREHOUSE,136
BURGLARY,RESIDENCE PORCH/HALLWAY,126
BURGLARY,ABANDONED BUILDING,115
BURGLARY,BAR OR TAVERN,115
BURGLARY,TAVERN/LIQUOR STORE,112
BURGLARY,CHA APARTMENT,108
BURGLARY,BARBERSHOP,99
BURGLARY,SCHOOL - PUBLIC BUILDING,98
BURGLARY,RESIDENCE - PORCH/HALLWAY,71
BURGLARY,DRUG STORE,59
BURGLARY,RESIDENTIAL YARD (FRONT/BACK),59
BURGLARY,SCHOOL - PRIVATE BUILDING,59
BURGLARY,GAS STATION,58
BURGLARY,PARKING LOT/GARAGE(NON.RESID.),57
BURGLARY,VACANT LOT/LAND,55
BURGLARY,MEDICAL/DENTAL OFFICE,51
BURGLARY,PARKING LOT/GARAGE (NON RESIDENTIAL),51
BURGLARY,AUTO/BOAT/RV DEALERSHIP,48
BURGLARY,HOTEL/MOTEL,47
BURGLARY,CLEANING STORE,42
BURGLARY,PARK PROPERTY,41
BURGLARY,FACTORY/MANUFACTURING BUILDING,39
BURGLARY,OTHER RAILROAD PROP/TRAIN DEPOT,37
BURGLARY,ALLEY,35
BURGLARY,CURRENCY EXCHANGE,33
BURGLARY,DAY CARE CENTER,33
BURGLARY,CAR WASH,30
BURGLARY,VEHICLE NON-COMMERCIAL,30
BURGLARY,APPLIANCE STORE,29
BURGLARY,BANK,23
BURGLARY,PAWN SHOP,22
BURGLARY,ATHLETIC CLUB,21
BURGLARY,RESIDENCE - YARD (FRONT/BACK),19
BURGLARY,GOVERNMENT BUILDING/PROPERTY,18
BURGLARY,SIDEWALK,18
BURGLARY,NURSING HOME/RETIREMENT HOME,15
BURGLARY,BOAT/WATERCRAFT,13
BURGLARY,SCHOOL - PUBLIC GROUNDS,13
BURGLARY,OTHER RAILROAD PROPERTY/TRAIN DEPOT,12
BURGLARY,OTHER COMMERCIAL TRANSPORTATION,11
BURGLARY,ATM (AUTOMATIC TELLER MACHINE),9
BURGLARY,SCHOOL - PRIVATE GROUNDS,9
BURGLARY,CHA PARKING LOT/GROUNDS,8
BURGLARY,MOVIE HOUSE/THEATER,8
BURGLARY,ANIMAL HOSPITAL,7
BURGLARY,DRIVEWAY - RESIDENTIAL,7
BURGLARY,VEHICLE-COMMERCIAL,6
BURGLARY,NURSING/RETIREMENT HOME,5
BURGLARY,CREDIT UNION,4
BURGLARY,FIRE STATION,4
BURGLARY,COIN OPERATED MACHINE,3
BURGLARY,LIBRARY,3
BURGLARY,TAXICAB,3
BURGLARY,CEMETARY,2
BURGLARY,CHA HALLWAY/STAIRWELL/ELEVATOR,2
BURGLARY,FARM,2
BURGLARY,LAKEFRONT/WATERFRONT/RIVERBANK,2
BURGLARY,NEWSSTAND,2
BURGLARY,POOL ROOM,2
BURGLARY,VEHICLE - COMMERCIAL,2
BURGLARY,AIRPORT EXTERIOR - SECURE AREA,1
BURGLARY,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
BURGLARY,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
BURGLARY,COLLEGE/UNIVERSITY - RESIDENCE HALL,1
BURGLARY,COLLEGE/UNIVERSITY GROUNDS,1
BURGLARY,COLLEGE/UNIVERSITY RESIDENCE HALL,1
BURGLARY,CTA GARAGE/OTHER PROPERTY,1
BURGLARY,CTA PARKING LOT/GARAGE/OTHER PROPERTY,1
BURGLARY,CTA STATION,1
BURGLARY,POLICE FACILITY/VEH PARKING LOT,1
BURGLARY,POLICE FACILITY/VEHICLE PARKING LOT,1
BURGLARY,SAVINGS AND LOAN,1
BURGLARY,SPORTS ARENA/STADIUM,1
CONCEALED CARRY LICENSE VIOLATION,STREET,243
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,95
CONCEALED CARRY LICENSE VIOLATION,SIDEWALK,31
CONCEALED CARRY LICENSE VIOLATION,VEHICLE NON-COMMERCIAL,31
CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,20
CONCEALED CARRY LICENSE VIOLATION,PARK PROPERTY,12
CONCEALED CARRY LICENSE VIOLATION,ALLEY,10
CONCEALED CARRY LICENSE VIOLATION,PARKING LOT/GARAGE(NON.RESID.),10
CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,5
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,5
CONCEALED CARRY LICENSE VIOLATION,RESIDENCE - YARD (FRONT/BACK),5
CONCEALED CARRY LICENSE VIOLATION,PARKING LOT/GARAGE (NON RESIDENTIAL),4
CONCEALED CARRY LICENSE VIOLATION,BAR OR TAVERN,3
CONCEALED CARRY LICENSE VIOLATION,COMMERCIAL/BUSINESS OFFICE,3
CONCEALED CARRY LICENSE VIOLATION,OTHER,3
CONCEALED CARRY LICENSE VIOLATION,VACANT LOT/LAND,3
CONCEALED CARRY LICENSE VIOLATION,VEHICLE-COMMERCIAL,3
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,2
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,2
CONCEALED CARRY LICENSE VIOLATION,CTA TRAIN,2
CONCEALED CARRY LICENSE VIOLATION,GAS STATION,2
CONCEALED CARRY LICENSE VIOLATION,RESTAURANT,2
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PRIVATE BUILDING,2
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PUBLIC GROUNDS,2
CONCEALED CARRY LICENSE VIOLATION,AIRPORT EXTERIOR - SECURE AREA,1
CONCEALED CARRY LICENSE VIOLATION,AIRPORT PARKING LOT,1
CONCEALED CARRY LICENSE VIOLATION,DEPARTMENT STORE,1
CONCEALED CARRY LICENSE VIOLATION,GOVERNMENT BUILDING/PROPERTY,1
CONCEALED CARRY LICENSE VIOLATION,GROCERY FOOD STORE,1
CONCEALED CARRY LICENSE VIOLATION,HOSPITAL BUILDING/GROUNDS,1
CONCEALED CARRY LICENSE VIOLATION,HOTEL/MOTEL,1
CONCEALED CARRY LICENSE VIOLATION,LAKEFRONT/WATERFRONT/RIVERBANK,1
CONCEALED CARRY LICENSE VIOLATION,POLICE FACILITY/VEH PARKING LOT,1
CONCEALED CARRY LICENSE VIOLATION,RESIDENCE,1
CONCEALED CARRY LICENSE VIOLATION,RESIDENTIAL YARD (FRONT/BACK),1
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PUBLIC BUILDING,1
CONCEALED CARRY LICENSE VIOLATION,SPORTS ARENA/STADIUM,1
CONCEALED CARRY LICENSE VIOLATION,TAVERN/LIQUOR STORE,1
CRIMINAL DAMAGE,STREET,26836
CRIMINAL DAMAGE,RESIDENCE,14590
CRIMINAL DAMAGE,APARTMENT,11676
CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),3010
CRIMINAL DAMAGE,RESIDENCE - GARAGE,2429
CRIMINAL DAMAGE,OTHER,1684
CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),1562
CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,1550
CRIMINAL DAMAGE,ALLEY,1282
CRIMINAL DAMAGE,RESTAURANT,1230
CRIMINAL DAMAGE,SMALL RETAIL STORE,924
CRIMINAL DAMAGE,PARKING LOT/GARAGE (NON RESIDENTIAL),821
CRIMINAL DAMAGE,SIDEWALK,817
CRIMINAL DAMAGE,GAS STATION,813
CRIMINAL DAMAGE,COMMERCIAL/BUSINESS OFFICE,681
CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,674
CRIMINAL DAMAGE,CTA TRAIN,666
CRIMINAL DAMAGE,DRIVEWAY - RESIDENTIAL,520
CRIMINAL DAMAGE,RESIDENCE - YARD (FRONT/BACK),501
CRIMINAL DAMAGE,OTHER (SPECIFY),450
CRIMINAL DAMAGE,CONVENIENCE STORE,359
CRIMINAL DAMAGE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,358
CRIMINAL DAMAGE,SCHOOL - PUBLIC BUILDING,332
CRIMINAL DAMAGE,CHA APARTMENT,318
CRIMINAL DAMAGE,CTA GARAGE/OTHER PROPERTY,305
CRIMINAL DAMAGE,CTA BUS,271
CRIMINAL DAMAGE,GROCERY FOOD STORE,262
CRIMINAL DAMAGE,PARK PROPERTY,254
CRIMINAL DAMAGE,VACANT LOT/LAND,228
CRIMINAL DAMAGE,HOTEL/MOTEL,227
CRIMINAL DAMAGE,RESIDENCE - PORCH/HALLWAY,207
CRIMINAL DAMAGE,DEPARTMENT STORE,172
CRIMINAL DAMAGE,BAR OR TAVERN,170
CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,157
CRIMINAL DAMAGE,SCHOOL - PUBLIC GROUNDS,153
CRIMINAL DAMAGE,CTA STATION,148
CRIMINAL DAMAGE,POLICE FACILITY/VEH PARKING LOT,142
CRIMINAL DAMAGE,BANK,140
CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,125
CRIMINAL DAMAGE,GOVERNMENT BUILDING/PROPERTY,111
CRIMINAL DAMAGE,CTA BUS STOP,110
CRIMINAL DAMAGE,BARBERSHOP,109
CRIMINAL DAMAGE,MEDICAL/DENTAL OFFICE,99
CRIMINAL DAMAGE,CONSTRUCTION SITE,98
CRIMINAL DAMAGE,SCHOOL - PRIVATE BUILDING,98
CRIMINAL DAMAGE,TAVERN/LIQUOR STORE,92
CRIMINAL DAMAGE,CURRENCY EXCHANGE,82
CRIMINAL DAMAGE,DRUG STORE,75
CRIMINAL DAMAGE,CTA PLATFORM,74
CRIMINAL DAMAGE,CTA PARKING LOT/GARAGE/OTHER PROPERTY,73
CRIMINAL DAMAGE,WAREHOUSE,69
CRIMINAL DAMAGE,DAY CARE CENTER,65
CRIMINAL DAMAGE,ABANDONED BUILDING,63
CRIMINAL DAMAGE,POLICE FACILITY/VEHICLE PARKING LOT,59
CRIMINAL DAMAGE,SPORTS ARENA/STADIUM,59
CRIMINAL DAMAGE,NURSING HOME/RETIREMENT HOME,52
CRIMINAL DAMAGE,AUTO/BOAT/RV DEALERSHIP,47
CRIMINAL DAMAGE,AIRPORT PARKING LOT,43
CRIMINAL DAMAGE,SCHOOL - PRIVATE GROUNDS,42
CRIMINAL DAMAGE,LIBRARY,41
CRIMINAL DAMAGE,VEHICLE-COMMERCIAL,40
CRIMINAL DAMAGE,CAR WASH,38
CRIMINAL DAMAGE,OTHER RAILROAD PROP/TRAIN DEPOT,36
CRIMINAL DAMAGE,ATHLETIC CLUB,35
CRIMINAL DAMAGE,CLEANING STORE,33
CRIMINAL DAMAGE,APPLIANCE STORE,30
CRIMINAL DAMAGE,FACTORY/MANUFACTURING BUILDING,28
CRIMINAL DAMAGE,OTHER RAILROAD PROPERTY/TRAIN DEPOT,28
CRIMINAL DAMAGE,AIRPORT EXTERIOR - NON-SECURE AREA,27
CRIMINAL DAMAGE,ANIMAL HOSPITAL,25
CRIMINAL DAMAGE,HIGHWAY/EXPRESSWAY,22
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY GROUNDS,21
CRIMINAL DAMAGE,FIRE STATION,21
CRIMINAL DAMAGE,ATM (AUTOMATIC TELLER MACHINE),20
CRIMINAL DAMAGE,JAIL/LOCK-UP FACILITY,20
CRIMINAL DAMAGE,TAXICAB,18
CRIMINAL DAMAGE,MOVIE HOUSE/THEATER,17
CRIMINAL DAMAGE,POOL ROOM,15
CRIMINAL DAMAGE,CHA HALLWAY/STAIRWELL/ELEVATOR,14
CRIMINAL DAMAGE,PAWN SHOP,14
CRIMINAL DAMAGE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",14
CRIMINAL DAMAGE,CTA TRACKS - RIGHT OF WAY,13
CRIMINAL DAMAGE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,12
CRIMINAL DAMAGE,NURSING/RETIREMENT HOME,12
CRIMINAL DAMAGE,VEHICLE - COMMERCIAL,12
CRIMINAL DAMAGE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,11
CRIMINAL DAMAGE,OTHER COMMERCIAL TRANSPORTATION,11
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,10
CRIMINAL DAMAGE,COIN OPERATED MACHINE,10
CRIMINAL DAMAGE,AIRPORT EXTERIOR - SECURE AREA,9
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,9
CRIMINAL DAMAGE,BOAT/WATERCRAFT,9
CRIMINAL DAMAGE,BRIDGE,8
CRIMINAL DAMAGE,CEMETARY,8
CRIMINAL DAMAGE,CREDIT UNION,6
CRIMINAL DAMAGE,SAVINGS AND LOAN,6
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY - GROUNDS,5
CRIMINAL DAMAGE,FEDERAL BUILDING,5
CRIMINAL DAMAGE,VEHICLE - DELIVERY TRUCK,5
